"Bolagsnamn";"Info";"Info";"Info";"Info";"Info";"Info";"Info";"Kursutveck.";"Direktav.";"P/E";"P/S";"P/B";"Omsättning";"Bruttoresult.";"EBIT";"EBITDA";"Vinst";"FCF";"Antal Aktier";"Tot. Skulder";"Kassa";"Kortf. Skuld."
"";"Land";"Lista";"Sektor";"Bransch";"Ticker";"Instrument";"Rapport";"Utveck.  1 år";"Senaste";"Senaste";"Senaste";"Senaste";"Miljoner";"Miljoner";"Miljoner";"Miljoner";"Miljoner";"Miljoner";"Senaste";"Miljoner";"Miljoner";"Miljoner"
"Ages Industri";"Sverige";"First North";"Industri";"Produktion";"AGES B";"Aktier";"Q2-2018";-0.2455143;0.01740139;20.83082;0.5408143;1.299117;1117;124;45;87;29;27;7.008;655;9;424
"AGF B";"Denmark";"Small Cap";"Sällanköpsvaror";"Hotell, restaurang & nöje";"AGF B";"Aktier";"Q2-2018";-0.01224492;"";-7.181009;0.6561711;2.228546;115.107;64.221;-9.883;0.997;-10.529;-7.777;312.107;32.299;11.282;32.299
"Agillic";"Denmark";"First North";"Informationsteknik";"IT-Tjänster";"AGILC";"Aktier";"Q4-2017";"";"";"";"";"";"";"";"";"";"";"";0.001;"";"";""
"Agromino";"Sverige";"Small Cap";"Dagligvaror";"Livsmedel";"AGRO";"Aktier";"Q1-2018";-0.2949309;"";-3.739917;0.8514524;0.861257;313.0431;124.6943;-64.3313;-48.3916;-71.2703;36.7722;17.421;165.0967;34.3249;148.5768
"AHA World";"Sverige";"Aktietorget";"Sällanköpsvaror";"Betting & Spel";"AHA";"Aktier";"Q1-2018";-0.6242719;"";-2.835165;0.6227285;1.755079;21.848;7.816;-8.203;-5.067;-4.799;-14.326;17.578;5.286;1.393;5.286
"Ahlsell";"Sverige";"Large Cap";"Industri";"Tjänster & Leverans";"AHSL";"Aktier";"Q2-2018";-0.1189236;0.03251231;13.50093;0.7442664;2.318783;29314;7877;2173;2721;1616;636;429.9;17694;1355;7388
"Ahlstrom-Munksjö";"Sverige";"Large Cap";"Industri";"Produktion";"AM1S";"Aktier";"Q1-2018";-0.132336;0.03344828;18.96259;0.5819125;1.405259;24913.73;13179.14;1522.604;2936.401;764.543;772.53;96.138;14480.1;2334.462;6779.178
"Ahlstrom-Munksjö Oyj";"Finland";"Large Cap";"Industri";"Produktion";"AM1";"Aktier";"Q1-2018";-0.2059146;0.03586207;18.05729;0.5522546;1.402557;2524.2;1336.3;154.5;298;77.2;81;96.138;1395;224.9;653.1
"Ahola Transport";"Finland";"First North";"Industri";"Handel & Distribution";"AHOLA";"Aktier";"Q1-2018";0.1785714;0.0169697;58.92857;0.4521321;1.547005;27.051;5.557;0.373;0.621;0.209;0.83;14.825;18.812;4.761;13.275
"AIK Fotboll";"Sverige";"NGM";"Sällanköpsvaror";"Hotell, restaurang & nöje";"AIK B";"Aktier";"Q1-2018";0.07500005;"";-2.659245;0.3445598;0.7259744;136.272;104.777;-22.967;-13.112;-17.657;14.662;21.839;74.535;53.341;72.529
"Aino Health";"Sverige";"First North";"Hälsovård";"Sjukvård";"AINO";"Aktier";"Q1-2018";-0.7496504;"";-0.5769355;0.9830722;1.260766;19.745;2.433;-32.818;-30.911;-33.645;-31.674;5.422;9.931;1.055;8.846
"Aker BP";"Norge";"OBX";"Energi";"Olja & Gas";"AKERBP";"Aktier";"Q2-2018";1.035894;0.009055007;28.99647;4.043638;4.166853;25256.47;18373.76;12291.33;18204.64;3522.096;-6222.477;360.113;72665.7;393.96;24380.77
"Aker Solutions";"Norge";"OBX";"Energi";"Olja & Gas";"AKSO";"Aktier";"Q2-2018";0.3313609;"";41.73429;0.6224735;2.15149;23600;"";802;1723;352;1597;272.044;13596;2440;10045
"AKVA Group";"Norge";"OB Match";"Dagligvaror";"Livsmedel";"AKVA";"Aktier";"Q1-2018";-0.09044585;0.017507;17.72944;0.8501832;3.755666;2167.237;"";160.031;244.899;103.928;93.437;25.806;1263.649;127.02;744.997
"Alcadon Group";"Sverige";"First North";"Informationsteknik";"Kommunikation";"ALCA";"Aktier";"Q1-2018";0.3846154;0.009259259;16.95501;1.47445;5.615795;601.4;76.9;76;76.9;52.3;40.8;16.421;259.5;51.4;109.4
"Alelion Energy";"Sverige";"First North";"Industri";"Produktion";"ALELIO";"Aktier";"Q1-2018";0.2884616;"";-29.68542;3.709027;6.129279;177.49;31.177;-20.29;-12.282;-22.18;-35.088;49.128;34.339;37.991;25.191
"Alfa Laval";"Sverige";"Large Cap";"Industri";"Produktion";"ALFA";"Aktier";"Q2-2018";0.2589473;0.01776756;25.81954;2.667958;4.527702;37607;12777;5205;6947;3886;3905;419.456;34947;3233;18113
"Alimak";"Sverige";"Mid Cap";"Industri";"Tjänster & Leverans";"ALIG";"Aktier";"Q1-2018";0.006170643;0.01659452;25.54038;1.794134;2.343887;4183.8;1386.8;417.9;538.2;293.9;256.4;54.158;2460.9;282.6;926.5
"ALK-Abello";"Denmark";"Large Cap";"Hälsovård";"Läkemedel";"ALK B";"Aktier";"Q1-2018";0.1958974;"";-86.83283;4.110424;3.592713;2873;1593;-129;205;-136;-614;10.128;1635;619;647
"Allgon";"Sverige";"First North";"Informationsteknik";"Kommunikation";"ALLG B";"Aktier";"Q1-2018";-0.5155963;"";-45.67474;0.5706698;0.9244018;195.288;113.91;0.803;7.87;-2.441;-19.471;21.107;111.902;4.327;48.964
"Alligator Bioscience";"Sverige";"Mid Cap";"Hälsovård";"Bioteknik";"ATORX";"Aktier";"Q2-2018";0.3686132;"";-28.76429;48.25687;4.973202;55.475;-46.481;-96.828;-92.151;-93.075;-97.403;71.388;26.856;444.575;26.856
"Alma Media";"Finland";"Mid Cap";"Sällanköpsvaror";"Media";"ALMA";"Aktier";"Q2-2018";0.1033387;0.03458213;16.47673;1.538171;4.134042;371.7;300.8;50.5;71.1;34.7;32.2;82.383;177.8;24.1;108.8
"Alphahelix";"Sverige";"Aktietorget";"Hälsovård";"Sjukvård";"ALPH";"Aktier";"Q1-2018";-0.3356643;"";-18.73767;2.490839;15.89813;20.15;"";-2.504;-1.733;-2.68;"";52.832;5.731;0.307;5.381
"Alteco Medical";"Sverige";"Aktietorget";"Hälsovård";"Läkemedel";"ALTE";"Aktier";"Q1-2018";-0.3259259;"";-2.867948;8.828882;2.168262;4.689;2.583;-14.348;-14.348;-14.435;-10.861;45.493;3.026;14.843;3.026
"Altia";"Finland";"Mid Cap";"Dagligvaror";"Livsmedel";"ALTIA";"Aktier";"Q4-2017";"";"";17.22497;0.8580913;2.303925;367.3;165.3;26.1;40.3;18.3;29.8;36.14;261.6;52.4;153.4
"Alzinova";"Sverige";"Aktietorget";"Hälsovård";"Bioteknik";"ALZ";"Aktier";"Q1-2018";2.008;"";-82.96558;24.62611;7.218251;8.364;0.102;-2.464;-2.464;-2.483;-9.485;5.478;2.33;14.179;1.53
"Amazon";"USA";"NYSE & Nasdaq
";"Informationsteknik";"Programvara & Internet";"AMZN";"Aktier";"Q1-2018";0.7585739;"";215.0953;4.384395;26.92174;193194;72965;5028;17742;3938;-8503;484;94899;24963;48045
"Ambea";"Sverige";"Mid Cap";"Hälsovård";"Sjukvård";"AMBEA";"Aktier";"Q1-2018";-0.1613636;0.01355014;19.72418;0.8398072;1.961531;5942;4618;415;532;253;-98;67.617;3065;77;2573
"Ambia Trading";"Sverige";"Aktietorget";"Industri";"Handel & Distribution";"AMBI";"Aktier";"Q4-2017";-0.1271676;"";14.38506;0.04344449;1.645761;901.249;84.336;8.302;11.298;2.722;10.214;2.593;193.632;37.114;173.176
"Ambu";"Denmark";"Large Cap";"Hälsovård";"Sjukvård";"AMBU B";"Aktier";"Q2-2018";1.581412;0.001703499;187.6134;21.58168;30.27655;2434;1430;511;619;280;-567;241.85;2365;119;409
"Amer Sports";"Finland";"Large Cap";"Sällanköpsvaror";"Konsument";"AMEAS";"Aktier";"Q1-2018";0.1919105;0.02527076;32.40145;1.204302;3.842678;2647.4;1199.2;177.2;266.3;98.4;122.9;115.1;1544;264.6;783.8
"American Shipping";"Norge";"OB Match";"Industri";"Tjänster & Leverans";"AMSC";"Aktier";"Q1-2018";0.09920634;0.09126354;14.01751;2.410964;1.125397;696.428;673.427;405.328;673.427;119.784;427.406;60.616;5205.849;371.789;341.275
"Amnode";"Sverige";"Aktietorget";"Industri";"Produktion";"AMNO";"Aktier";"Q1-2018";-0.8405797;0;-0.4684838;0.1172332;0.4714358;74.206;37.939;-11.206;-5.05;-18.578;-9.001;158.171;41.138;3.816;34.493
