"Bolagsnamn";"Info";"Info";"Info";"Info";"Info";"Info";"Info";"Kursutveck.";"Direktav.";"P/E";"P/S";"P/B";"Omsättning";"Bruttoresult.";"EBIT";"EBITDA";"Vinst";"FCF";"Antal Aktier";"Tot. Skulder";"Kassa";"Kortf. Skuld."
"";"Land";"Lista";"Sektor";"Bransch";"Ticker";"Instrument";"Rapport";"Utveck.  1 år";"Senaste";"Senaste";"Senaste";"Senaste";"Miljoner";"Miljoner";"Miljoner";"Miljoner";"Miljoner";"Miljoner";"Senaste";"Miljoner";"Miljoner";"Miljoner"
"Kamux";"Finland";"Mid Cap";"Industri";"Tjänster & Leverans";"KAMUX";"Aktier";"Q1-2018";-0.2038601;0.01818182;22.16997;0.5739499;4.404301;475;55.9;17.6;18.8;12.3;1.8;41.307;43.2;17.5;22
"Kancera";"Sverige";"First North";"Hälsovård";"Bioteknik";"KAN";"Aktier";"Q1-2018";-0.6525096;"";-2.334025;209.9085;5.247913;0.656;0.582;-58.938;-57.857;-59.006;-23.484;153;14.399;17.958;11.32
"KappAhl";"Sverige";"Mid Cap";"Sällanköpsvaror";"kläder & Textil";"KAHL";"Aktier";"Q3-2018";-0.2231579;0.2303523;8.942203;0.5942679;1.760657;4770;2966;354;495;317;242;76.82;1207;54;1004
"Karessa Pharma";"Sverige";"First North";"Hälsovård";"Läkemedel";"KARE";"Aktier";"Q1-2018";-0.3063584;"";-4.350979;156.7696;0.3882262;0.421;-1.87;-15.453;-14.668;-15.169;-14.143;11;3.297;35.933;3.297
"Karo Pharma";"Sverige";"Mid Cap";"Hälsovård";"Bioteknik";"KARO";"Aktier";"Q1-2018";-0.213615;"";8.097655;3.941258;1.220147;785.336;418.682;112.032;185.675;40.328;-1222.663;104.808;1798.034;295.189;258.328
"Karolinska Development";"Sverige";"Small Cap";"Hälsovård";"Läkemedel";"KDEV";"Aktier";"Q1-2018";0.9799999;"";3.429997;245.8359;2.565718;2.582;-12.952;224.395;224.395;185.059;-8.126;64.116;405.256;145.717;8.986
"Kemira";"Finland";"Large Cap";"Industri";"Produktion";"KEMIRA";"Aktier";"Q1-2018";0.02462619;0.04549357;21.71077;0.7095031;1.628804;2496.8;283.9;141.5;284;81.6;53.9;152.059;1622.2;229.9;672.2
"Kentima";"Sverige";"First North";"Informationsteknik";"Programvara & Internet";"KENH";"Aktier";"Q3-2018";1.104167;"";13.18538;1.218728;2.33056;48.335;23.048;4.574;6.247;4.469;-1.523;29.162;11.703;0.634;8.435
"Keskisuomalainen";"Finland";"Small Cap";"Sällanköpsvaror";"Media";"KSLAV";"Aktier";"Q4-2017";0.06565662;0.06635071;7.866677;0.6443421;1.371372;175.8;14.3;14.4;14.4;14.4;21.2;10.737;99.3;19.3;39.6
"Kesko B";"Finland";"Large Cap";"Dagligvaror";"Livsmedel";"KESKOB";"Aktier";"Q1-2018";0.2803117;0.03938418;22.34936;0.5282582;2.587528;10492;1451;345;482;248;503;99.221;2537;441;2319
"Kesla";"Finland";"Small Cap";"Industri";"Tjänster & Leverans";"KELAS";"Aktier";"Q4-2017";-0.1417476;0.02262443;17.70124;0.3502251;1.30138;42.695;19.741;1.471;2.951;0.845;1.739;3.383;19.668;0.307;12.84
"Kid";"Norge";"OB Match";"Sällanköpsvaror";"kläder & Textil";"KID";"Aktier";"Q1-2018";-0.2881356;0.03869048;9.5792;0.9735579;1.345499;1402.764;842.681;181.164;217.235;142.569;74.501;40.645;938.559;57.296;175.981
"Kindred Group";"Sverige";"Large Cap";"Sällanköpsvaror";"Betting & Spel";"KIND SDB";"Aktier";"Q1-2018";0.4071038;0.04784543;19.6352;3.17659;7.61269;9234.232;5754.164;1748.176;2264.044;1493.932;176.838;227.832;4497.01;1632.68;3084.48
"Kitron";"Norge";"OB Match";"Informationsteknik";"Elektronisk utrustning";"KIT";"Aktier";"Q2-2018";0.15;0.05978261;14.91328;0.6312267;2.560681;2520.886;826.154;156.151;211.109;106.703;112.815;172.962;953.096;69.9;871.836
"Klaria Pharma";"Sverige";"First North";"Hälsovård";"Läkemedel";"KLAR";"Aktier";"Q1-2018";0.088372;"";-22.67442;108.9241;1.925529;2.646;-0.538;-12.941;-12.913;-12.714;-15.573;30.792;2.866;13.373;2.866
"Klick Data";"Sverige";"Aktietorget";"Informationsteknik";"IT-Tjänster";"KLIC B";"Aktier";"Q4-2018";-0.21;"";1580;2.10552;1.123175;5.511;3.006;-2.401;-2.201;0.0075;-1.128;2.448;4.096;3.932;1.151
"KnowIT";"Sverige";"Mid Cap";"Informationsteknik";"IT-Tjänster";"KNOW";"Aktier";"Q2-2018";0.2814815;0.02745665;15.82944;1.136332;3.282511;2917;"";297.3;312.5;209.4;109.5;19.16;809.7;25.6;726
"Kobenhavns Lufthavne";"Denmark";"Large Cap";"Industri";"Tjänster & Leverans";"KBHL";"Aktier";"Q1-2018";0.093359;0.02883803;34.31614;10.00329;13.14364;4456.2;3976.3;1840.5;2636.3;1299;584.1;7.848;8462.4;42.5;2415.7
"KONE";"Finland";"Large Cap";"Industri";"Byggprodukter";"KNEBV";"Aktier";"Q1-2018";0.1012892;0.03448997;26.45579;2.759301;10.69381;9140.1;"";1210.9;1325.8;953.3;684.8;527.18;4433;485.5;3816.6
"Konecranes";"Finland";"Large Cap";"Industri";"Tjänster & Leverans";"KCR";"Aktier";"Q1-2018";-0.09068564;0.03243243;71.92846;0.9316818;2.482847;3134.2;1735.2;116.2;232.3;40.6;117.8;78.921;2290.2;198.3;1250.6
"Kongsberg Automotive";"Norge";"OB Match";"Industri";"Produktion";"KOA";"Aktier";"Q1-2018";0.1807083;"";247.9487;0.3839794;2.114857;10146.49;"";300.496;720.53;15.749;-205.097;402.9;5356.329;386.628;2333.166
"Kongsberg Gruppen";"Norge";"OB Match";"Industri";"Tjänster & Leverans";"KOG";"Aktier";"Q1-2018";0.2833333;0.02213695;38.94253;1.419256;2.78199;14323;1032;727;1226;522;1924;120;13043;2739;7615
"Kontigo Care";"Sverige";"First North";"Hälsovård";"Sjukvård";"KONT";"Aktier";"Q1-2018";-0.01917813;"";-5.678934;6.502884;3.175313;10.907;2.041;-12.148;-9.62;-12.491;-10.902;19.812;10.675;15.321;8.342
"Kopparbergs";"Sverige";"NGM";"Dagligvaror";"Livsmedel";"KOBR MTF B";"Aktier";"Q1-2018";-0.05744681;0.02663657;25.55936;2.381518;6.45945;1916.8;1080.6;247.2;308.9;178.6;126.4;20.609;922.5;183.4;822.5
"Kopy Goldfields";"Sverige";"First North";"Material";"Gruv & Metall";"KOPY";"Aktier";"Q4-2017";-0.03082197;"";-8.104239;36.53747;1.028461;3.093;-5.921;-16.252;-16.246;-13.948;-20.223;79.866;18.374;5.871;3.374
"Kotipizza";"Finland";"Small Cap";"Dagligvaror";"Livsmedel";"PIZZA";"Aktier";"Q1-2018";0.1033029;0.03184713;20.28424;1.151301;2.997556;86.607;19.885;6.642;8.055;4.916;4.627;6.351;29.119;8.472;11.174
"Kvaerner";"Norge";"OB Match";"Energi";"Olja & Gas";"KVAER";"Aktier";"Q2-2018";0.2465517;"";8.1718;0.5387452;1.169847;7220;"";648;755;476;112;269;2809;3011;2328
"Lagercrantz";"Sverige";"Mid Cap";"Informationsteknik";"Elektronisk utrustning";"LAGR B";"Aktier";"Q4-2018";0.04751385;0.02109705;21.66312;1.805243;4.652123;3410;1239;378;486;286;-283;67.868;2329;134;1738
"Lammhults Design";"Sverige";"Small Cap";"Industri";"Tjänster & Leverans";"LAMM B";"Aktier";"Q2-2018";-0.3034221;0.04366812;11.38001;0.3989672;0.8556356;969.8;322.6;51.9;76.4;34;31.3;8.448;425.2;12;351.3
"Lassila & Tikanoja";"Finland";"Mid Cap";"Industri";"Tjänster & Leverans";"LAT1V";"Aktier";"Q1-2018";-0.1785714;0.05714286;19.53884;0.8245294;3.443918;753.5;192.7;42.8;84;31.8;-20.8;38.589;372.4;36;215
"Latvian Forest";"Sverige";"Aktietorget";"Material";"Skog";"LATF B";"Aktier";"Q1-2018";0.1560283;"";11.04635;63.59214;0.770403;2.6287;1.7141;4.4409;4.4438;15.1336;-9.2178;20.511;19.5106;11.1026;1.5181
"Lauritz";"Sverige";"First North";"Sällanköpsvaror";"Återförsäljare";"LAUR";"Aktier";"Q1-2018";-0.744;"";4.636337;0.2982979;0.7257121;218.1229;204.9284;44.6887;99.9762;14.0375;6.4825;40.666;517.3811;68.6613;163.6516
"Lavo.tv";"Norge";"Merkur Market";"Sällanköpsvaror";"Media";"LAVO-ME";"Aktier";"Q4-2017";"";"";"";"";"";"";"";"";"";"";"";0.001;"";"";""
"LC-TECH";"Sverige";"NGM";"Informationsteknik";"Elektronisk utrustning";"LCT MTF";"Aktier";"Q1-2018";0.09027777;"";18.42723;1.579787;1.969427;17.165;"";0.419;0.419;1.472;1.455;17.272;4.541;1.202;4.541
"Leading Edge Materials";"Sverige";"First North";"Industri";"Produktion";"LEMSE";"Aktier";"Q1-2018";"";"";-10.44578;"";1.522632;"";-0.6484;-26.5453;-26.0862;-26.7136;-20.6161;88.864;59.1824;20.0516;5.2822
"Lehto Group";"Finland";"Mid Cap";"Industri";"Byggnation";"LEHTO";"Aktier";"Q4-2017";-0.2786033;0.03501545;11.49657;0.9496432;3.696781;595.6;350.5;61.5;64.7;49.2;-3.1;58.25;186.4;68;168.3
"LeoVegas";"Sverige";"Large Cap";"Sällanköpsvaror";"Betting & Spel";"LEO";"Aktier";"Q1-2018";0.2080971;0.01555496;52.03683;2.972323;10.82595;2502.292;1841.036;180.3776;294.4698;142.9397;-960.1446;99.7;2147.528;470.3008;1238.981
"Leroy Seafood";"Norge";"OBX";"Dagligvaror";"Livsmedel";"LSG";"Aktier";"Q1-2018";0.273326;0.02586207;11.91993;1.902302;2.299418;18164.66;8798.663;1683.19;2274.362;2898.928;1058.179;595.77;11813.24;3870.641;3884.73
"Lexington";"Sverige";"First North";"Sällanköpsvaror";"kläder & Textil";"LEX";"Aktier";"Q1-2018";-0.5321428;"";-37.56811;0.28791;0.9286328;271.91;178.148;-1.182;5.602;-2.084;-25.204;5.976;51.157;6.76;49.359
"LIDDS";"Sverige";"First North";"Hälsovård";"Läkemedel";"LIDDS";"Aktier";"Q1-2018";1.303448;"";-51.51141;340.4917;2.526362;1.029;-6.441;-6.808;-6.808;-6.803;-22.01;20.98;3.632;22.219;3.632
"LifeAir";"Sverige";"NGM";"Hälsovård";"Sjukvård";"LAIR MTF";"Aktier";"Q1-2018";-0.1578947;"";-2.908033;1.681361;4.434556;29.4;8.963;-15.811;-13.815;-16.999;-9.713;12.358;17.262;5.41;7.782
"Lifeassays";"Sverige";"NGM";"Hälsovård";"Läkemedel";"LIFE B";"Aktier";"Q1-2018";-0.6833333;"";-1.100862;3.525438;1.942212;6.844;4.423;-21.526;-19.737;-21.918;-25.296;2.5398;19.736;0.184;5.617
"Lightlab";"Sverige";"First North";"Industri";"Produktion";"LLSW B";"Aktier";"Q1-2018";-0.6248165;"";-2.295537;3.332184;0.3209968;12.481;0.492;-17.68;-8.347;-18.118;-23.552;10.1697;12.321;1.861;8.383
"Lindab";"Sverige";"Mid Cap";"Industri";"Byggprodukter";"LIAB";"Aktier";"Q2-2018";-0.2921039;0.02418097;14.60569;0.5553151;1.144266;8811;2264;463;626;335;242;76.332;4174;391;2258
"Link Mobility";"Norge";"OB Match";"Informationsteknik";"Kommunikation";"LINK";"Aktier";"Q1-2018";0.7991968;"";436.1371;2.016255;3.92961;1531.917;448.979;69.682;122.648;7.083;-433.961;13.789;1464.62;246.717;424.585
"Litium";"Sverige";"Aktietorget";"Informationsteknik";"Kommunikation";"LITI";"Aktier";"Q1-2018";0.4834436;"";-18.91572;2.500139;2.963146;29.535;16.211;-3.708;2.074;-3.904;"";6.593;13.61;3.764;11.36
"Liv ihop";"Sverige";"First North";"Industri";"Tjänster & Leverans";"LIVI";"Aktier";"Q1-2018";"";"";31.70265;0.3009411;2.885229;289.864;267.465;6.027;11.776;2.752;-15.117;7.52;70.683;9.225;47.585
"Loomis";"Sverige";"Large Cap";"Industri";"Tjänster & Leverans";"LOOM B";"Aktier";"Q1-2018";0.02453198;0.02835539;16.40014;1.369573;3.122597;17435;4751;2010;3126;1456;470;75.279;8467;881;2937
"Lovisagruvan";"Sverige";"Aktietorget";"Material";"Gruv & Metall";"LOVI";"Aktier";"Q1-2018";-0.2178218;0.05063291;14.43555;4.678388;13.7726;57.7;43.1;27.7;32.7;18.7;27.6;3.417;61.9;9.1;22
"Lucara Diamond";"Sverige";"Mid Cap";"Material";"Gruv & Metall";"LUC";"Aktier";"Q1-2018";-0.2229508;0.04473981;11.50113;3.065242;2.33191;1794.594;1281.163;961.4697;1108.702;478.3031;161.9076;386.84;1047.271;379.3722;220.1796
"Lundbeck";"Denmark";"Large Cap";"Hälsovård";"Läkemedel";"LUN";"Aktier";"Q1-2018";0.1808511;0.01801802;27.26301;5.010382;7.583839;17608;13866;5053;6277;3236;2742;198.7;8120;3292;6995
"Lundin Gold";"Sverige";"Mid Cap";"Material";"Gruv & Metall";"LUG";"Aktier";"Q1-2018";0.009146319;"";-5.139832;"";0.8211845;"";"";-197.3639;-196.6605;-804.0931;-1798.132;124.861;3619.927;4162.086;227.36
"Lundin Mining";"Sverige";"Large Cap";"Material";"Gruv & Metall";"LUMI";"Aktier";"Q1-2018";-0.07801687;0.02496145;9.68325;2.1098;1.128713;17041.73;8869.209;5549.492;8465.6;3713.093;11651.97;729.599;19218.44;14178.28;4937.861
"Lundin Petroleum";"Sverige";"Large Cap";"Energi";"Olja & Gas";"LUPE";"Aktier";"Q1-2018";0.6150701;0.01446076;19.29236;5.129714;-135.1896;18360.64;7784.901;7569.844;12271.37;4878.462;2891.252;340.386;53529.23;888.298;2218.096
"Lyko";"Sverige";"First North";"Sällanköpsvaror";"Konsument";"LYKO A";"Aktier";"Q1-2018";"";"";-21.08017;1.028802;2.506687;815.5;420.4;14.1;38.7;-39.8;-21;15.31;238.2;1.8;188.8
"Mackmyra";"Sverige";"First North";"Dagligvaror";"Konsumentprodukter";"MACK B";"Aktier";"Q1-2018";0.428;"";-21.31343;2.641824;1.616114;83.006;44.339;1.107;1.107;-10.289;-14.625;12.285;176.91;6.582;34.02
"MAG Interactive";"Sverige";"First North";"Sällanköpsvaror";"Betting & Spel";"MAGI";"Aktier";"Q3-2018";"";"";-9.850543;2.510317;1.777866;243.255;177.112;-58.723;-35.126;-61.993;-100.238;26.321;81.252;242.054;26.838
"Magseis";"Norge";"OB Standard";"Energi";"Olja & Gas";"MSEIS";"Aktier";"Q1-2018";0.1103449;"";13.90568;1.59551;0.8907076;614.4502;333.4514;96.6754;222.0344;70.5045;-335.067;60.892;217.9591;356.33;115.2477
"Maha Energy";"Sverige";"First North";"Energi";"Olja & Gas";"MAHA A";"Aktier";"Q1-2018";0.5721739;"";-278.1538;5.443301;1.858327;160.5952;120.8396;39.3913;67.6885;-3.1458;-225.9563;96.7;367.5293;200.9107;49.2685
"Malmbergs Elektriska";"Sverige";"Small Cap";"Industri";"Handel & Distribution";"MEAB B";"Aktier";"Q1-2018";-0.3444248;0.05399568;17.31456;1.159785;2.432777;638.739;"";55.477;62.12;42.785;56.017;8;106.077;93.106;77.458
"Mantex";"Sverige";"First North";"Industri";"Produktion";"MANTEX";"Aktier";"Q2-2018";0.1616767;"";-1.77949;5.379311;9.354714;10.015;7.705;-30.239;-28.992;-30.275;-31.322;13.885;17.24;4.42;17.24
"Marimekko";"Finland";"Small Cap";"Sällanköpsvaror";"kläder & Textil";"MMO1V";"Aktier";"Q1-2018";0.3448607;0.03571428;19.79918;1.085439;3.616119;104.332;66.42;8.636;11.858;5.72;8.052;8.089;15.583;3.992;12.489
"Marine Harvest";"Norge";"OBX";"Dagligvaror";"Livsmedel";"MHG";"Aktier";"Q1-2018";0.1677106;0.0738975;20.33816;2.43056;3.638712;33839.94;18051.65;6274.156;7684.185;4044.124;3035.254;490.167;19995.77;853.06;6138.365
"Martela";"Finland";"Small Cap";"Industri";"Tjänster & Leverans";"MARAS";"Aktier";"Q4-2017";-0.5301418;0.06037736;-34.64052;0.1997189;0.9735602;110.289;29.989;0.26;2.898;-0.636;-9.55;4.156;33.813;7.283;26.551
"Matas";"Denmark";"Mid Cap";"Dagligvaror";"Konsumentprodukter";"MATAS";"Aktier";"Q4-2018";-0.4959596;0.1262525;6.693764;0.5487526;0.7158762;3419.1;1549.3;368.9;534.5;280.3;281.5;37.6;2682.7;86.4;913
"Matra Petroleum";"Sverige";"First North";"Energi";"Olja & Gas";"MATRA";"Aktier";"Q1-2018";-0.4071428;"";-2.53978;2.251549;0.9555259;73.128;20.8526;-8.4263;2.2525;-64.831;-37.4222;39.675;556.0871;8.9862;58.6834
"Mavshack";"Sverige";"First North";"Informationsteknik";"Programvara & Internet";"MAV";"Aktier";"Q1-2018";2.370787;"";-8.547009;2.584676;2.211119;25.535;11.652;-0.211;0.453;-7.739;-11.8;219.999;9.155;0.523;9.146
"McDonalds";"USA";"NYSE & Nasdaq
";"Dagligvaror";"Livsmedel";"MCD";"Aktier";"Q3-2017";0.06151233;0.02312992;23.20496;5.61341;-37.94749;23509.1;15899.6;9377.5;10777;5687;6251.9;811.8;36037.2;2671.2;3740.2
"Medfield";"Sverige";"Aktietorget";"Hälsovård";"Sjukvård";"MEDF";"Aktier";"Q1-2018";0.0333333;"";-12.84708;9.610768;1.87255;6.863;2.33;-5.135;-4.965;-5.136;-11.359;21.277;2.553;7.79;2.553
"Medical Prognosis";"Sverige";"First North";"Hälsovård";"Sjukvård";"MPI";"Aktier";"Q4-2017";-0.2323887;"";-7.582787;44.78724;94.24554;5.145;-9.125;-23.848;-23.794;-30.39;-9.139;24.307;10.54;3.326;10.54
"MedicaNatumin";"Sverige";"NGM";"Dagligvaror";"Konsumentprodukter";"MEDNA MTF";"Aktier";"Q4-2017";0.6563246;"";-43.375;2.005173;3.032958;128.851;80.555;-8.114;12.344;-5.98;-8.975;372.289;55.237;1.117;28.131
"Medicover";"Sverige";"Mid Cap";"Hälsovård";"Sjukvård";"MCOV B";"Aktier";"Q1-2018";0.2526316;"";48.02537;1.883234;3.450881;5897.73;1442.177;295.706;557.762;231.277;-219.411;133.335;2152.668;317.984;1020.896
"MedicPen";"Sverige";"Aktietorget";"Hälsovård";"Sjukvård";"MPEN";"Aktier";"Q1-2018";-0.3669725;"";-4.006968;549.2009;5.562227;0.141;-1.055;-19.088;-17.749;-19.334;3.868;112.228;1.119;10.446;1.119
"MediRätt";"Sverige";"First North";"Hälsovård";"Sjukvård";"MEDR B";"Aktier";"Q1-2018";0.1864661;"";-13.78648;147.654;11.7021;0.654;-4.8;-6.97;-6.449;-7.005;-12.915;12.239;3.968;0.138;3.643
"Medistim";"Norge";"OB Standard";"Hälsovård";"Sjukvård";"MEDI";"Aktier";"Q1-2018";0.05466238;0.02439024;33.0033;4.947483;7.80194;301.234;228.056;63.015;76.107;45.159;37.343;18.175;61.716;56.077;52.903
"Medivir";"Sverige";"Mid Cap";"Hälsovård";"Bioteknik";"MVIR B";"Aktier";"Q1-2018";-0.5445206;"";-2.191956;23.06505;1.302155;33.1;33.1;-352.5;-334.8;-348.3;-329.2;22.961;88.4;522.7;88.4
"Mekonomen";"Sverige";"Mid Cap";"Sällanköpsvaror";"Återförsäljare";"MEKO";"Aktier";"Q1-2018";-0.2472727;0.05636071;14.013;0.7492697;1.792885;5951;3312;456;645;318.2;199;35.901;3122;183;1534
"MenuCard";"Sverige";"Aktietorget";"Informationsteknik";"Programvara & Internet";"MENU B";"Aktier";"Q1-2018";-0.7178947;"";-0.9646534;13.58631;-14.56789;0.935;-5.39;-11.859;-11.859;-12.152;-8.688;9.48;3.388;1.452;3.388
"Mertiva";"Sverige";"NGM";"Hälsovård";"Läkemedel";"MERT MTF A";"Aktier";"Q4-2017";0.1549707;"";1.049873;"";0.9103942;"";-0.703;-0.703;-0.703;702.509;336.624;18.672;0.126;471.445;0.126
"Metallvärden";"Sverige";"NGM";"Industri";"Produktion";"METV MTF";"Aktier";"Q4-2017";-0.6377551;"";-0.2327106;0.1492305;-0.4024449;48.057;13.902;-15.503;-12.3;-30.826;-12.926;101.008;46.329;2.508;21.038
"Metso";"Finland";"Large Cap";"Industri";"Tjänster & Leverans";"METSO";"Aktier";"Q1-2018";-0.03741383;0.03579952;37.28232;1.586962;3.56777;2772;756;239;297;118;82;149.985;2092;694;1413
"Metsä Board B";"Finland";"Large Cap";"Material";"Skog";"METSB";"Aktier";"Q1-2018";0.4536397;0.02214022;19.81408;1.751073;2.95845;1925.7;666.4;230.9;324.2;170.2;188.8;355.513;1166.5;278.6;582.2
"Micro Systemation";"Sverige";"Small Cap";"Informationsteknik";"Programvara & Internet";"MSAB B";"Aktier";"Q1-2018";0.1940299;0.0275;27.66921;4.722489;12.25645;311.7;208.9;66.8;67.9;53.2;44.7;18.4;80.9;128.9;80.9
"Micropos Medical";"Sverige";"Aktietorget";"Hälsovård";"Sjukvård";"MPOS";"Aktier";"Q4-2017";-0.2653631;"";-5.509007;39.29738;6.960435;1.999;"";-16.246;-14.352;-14.265;-13.071;59.738;4.883;11.032;4.883
"Microsoft";"USA";"NYSE & Nasdaq
";"Informationsteknik";"IT-Tjänster";"MSFT";"Aktier";"Q1-2018";0.4374206;0.01531363;34.00768;8.350231;8.758954;94035;59340;24809;34270;23090;5183;7708;159450;138471;51615
"Midsona B";"Sverige";"Mid Cap";"Dagligvaror";"Konsumentprodukter";"MSON B";"Aktier";"Q1-2018";0.5728952;0.01631854;35.59976;1.562151;2.154164;2256;778;144;181;99;27;46.008;1340;44;461
"Midsummer";"Sverige";"First North";"Kraftförsörjning";"Energiproducenter";"MIDS";"Aktier";"Q4-2017";"";"";25.20064;4.387523;16.69354;132.722;83.001;25.002;41.78;23.108;8.237;24.727;61.177;28.729;24.083
"Migatronic";"Denmark";"Small Cap";"Industri";"Tjänster & Leverans";"MIGA B";"Aktier";"Q4-2017";0;0.02142857;30.40834;0.7526738;1.802987;314.718;180.415;12.215;24.115;7.79;-5.719;0.846;92.991;12.846;79.367
"Millicom";"Sverige";"Large Cap";"Telekommunikation";"Telekommunikationstjänster";"MIC SDB";"Aktier";"Q1-2018";0.05105973;0.03973309;84.91594;1.017903;1.987016;53965.69;39973.85;8291.94;20303.69;646.9;3693.03;100.7;53707.85;4982.4;16884.8
"Minesto";"Sverige";"First North";"Kraftförsörjning";"Energiproducenter";"MINEST";"Aktier";"Q4-2017";0.3162393;"";-73.61377;15.02015;2.301543;38.535;29.552;-9.939;-9.599;-7.866;-76.489;75.169;30.781;46.868;30.281
"Mips";"Sverige";"Small Cap";"Sällanköpsvaror";"Konsument";"MIPS";"Aktier";"Q1-2018";0.2041096;"";102.8311;17.36692;10.05513;128.047;95.529;27.557;28.85;21.627;10.196;25.299;18.654;186.748;18.654
"Miris";"Sverige";"Aktietorget";"Hälsovård";"Sjukvård";"MIR";"Aktier";"Q1-2018";-0.09090911;"";-4.878049;5.424045;9.921677;12.916;7.364;-14.172;-13.867;-14.385;-22.158;1751.424;15.506;0.205;9.823
"Misen Energy";"Sverige";"First North";"Energi";"Olja & Gas";"MISE";"Aktier";"Q1-2018";-0.2758621;"";-0.5436049;9.562521;-15.80671;31.858;-31.772;-1054.17;-1033.009;-560.416;-8.452;145.068;29.008;5.059;29.008
"Moberg Pharma";"Sverige";"Small Cap";"Hälsovård";"Läkemedel";"MOB";"Aktier";"Q1-2018";-0.2138493;"";41.63521;1.580281;1.204814;425.99;308.245;56.693;94.703;16.169;28.12;17.44;660.571;102.481;62.18
"MobiPlus";"Sverige";"Aktietorget";"Informationsteknik";"IT-Tjänster";"MPLUS";"Aktier";"Q1-2018";-0.2032854;"";-10.70345;0.6918846;1.622361;30.49;14.026;-1.66;0.18;-1.971;"";5.437;23.988;4.991;12.184
"Modern Ekonomi";"Sverige";"First North";"Sällanköpsvaror";"Media";"ME";"Aktier";"Q2-2018";-0.1139241;"";-0.01754486;0.0009693517;0.004504661;53343.9;"";-2769.132;-1552.942;-2947.246;-1344.948;14.774;46864;2152;32411
"Moment Group";"Sverige";"First North";"Sällanköpsvaror";"Hotell, restaurang & nöje";"MOMENT";"Aktier";"Q1-2018";0.1351351;0.02190476;13.18764;0.3036695;2.014278;997.41;506.886;31.602;47.229;22.968;-118.535;14.423;465.342;150.744;280.026
"Momentum Group";"Sverige";"Mid Cap";"Industri";"Byggprodukter";"MMGR B";"Aktier";"Q1-2019";0.3355555;0.02163062;16.67036;0.5841115;2.7489;5765;2132;268;308;202;-15;28.015;1605;6;1323
"Monberg & Thorsen";"Denmark";"Small Cap";"Industri";"Byggnation";"MT B";"Aktier";"Q4-2017";-0.4703088;0.01793722;-10.51917;"";0.850484;"";-3;-41.7;-41.7;-38;99.4;3.585;2.7;77.6;2.7
"Motion Display";"Sverige";"Aktietorget";"Informationsteknik";"Elektronisk utrustning";"MODI";"Aktier";"Q1-2018";0.1111111;"";64.02048;2.414915;9.298685;43.045;20.517;1.87;4.727;1.624;-0.595;10.395;17.495;1.4;15.432
"MoxieTech";"Sverige";"First North";"Industri";"Bemanning";"MOXI";"Aktier";"Q3-2018";-0.2907802;0.028;136.612;0.2773641;3.245943;234.349;"";3.484;11.201;0.477;-2.262;13;76.638;3.599;66.66
"MPC Container Ships";"Norge";"OB Match";"Industri";"Handel & Distribution";"MPCC";"Aktier";"Q4-2017";0.07446808;"";-160.7256;19.82714;1.245456;166.2003;19.2307;-18.5236;7.1329;-20.505;-2183.354;65.253;859.4007;1276.79;66.0216
"MQ";"Sverige";"Small Cap";"Sällanköpsvaror";"kläder & Textil";"MQ";"Aktier";"Q3-2018";-0.5420382;0.1216968;7.306634;0.2853068;0.4562326;1767;1015;92;158;69;61;35.156;653;15;405
"Mr Green & Co";"Sverige";"Mid Cap";"Sällanköpsvaror";"Betting & Spel";"MRG";"Aktier";"Q1-2018";0.2554455;0.02563092;18.72347;1.597579;1.901495;1296.876;879.525;117.784;197.202;110.657;135.044;40.849;882.954;637.42;349.37
"MTG B";"Sverige";"Large Cap";"Sällanköpsvaror";"Media";"MTG B";"Aktier";"Q2-2018";0.09882747;0.03810976;17.96466;1.13642;4.204035;19270;7414;1062;1766;1219;604;66.724;13391;1026;10878
"Multiconsult";"Norge";"OB Match";"Industri";"Byggnation";"MULTI";"Aktier";"Q1-2018";-0.3054945;0.02373418;50.66132;0.5338748;2.784362;3106.997;692.046;59.625;107.673;32.744;-138.082;26.246;1362.194;151.721;1111.972
"MultiDocker";"Sverige";"NGM";"Industri";"Produktion";"MULT MTF";"Aktier";"Q1-2018";-0.6181818;"";-2.189781;0.4549977;3.834666;120.308;14.198;-21.681;-17.873;-25.006;-23.526;130.333;68.897;1.242;60.191
"MultiQ";"Sverige";"Small Cap";"Informationsteknik";"Elektronisk utrustning";"MULQ";"Aktier";"Q1-2018";-0.05970152;"";70;0.5864573;1.055515;132.416;46.136;-2.882;1.069;1.112;-0.846;123.264;49.486;8.612;41.46
"Munters";"Sverige";"Large Cap";"Industri";"Byggprodukter";"MTRS";"Aktier";"Q2-2018";-0.4422819;0.007220217;21.13213;1.105419;1.866071;6901;2190;482;752;361;-8;183.598;5935;358;2001
"MVV Holding";"Sverige";"NGM";"Informationsteknik";"Tjänster & Leverans";"MVV MTF B";"Aktier";"Q4-2017";-0.5555555;"";-4.72441;0.1400179;0.6384623;44.6;34.844;-0.852;0.686;-1.322;2.448;5.204;16.553;0.726;15.951
"Mycronic";"Sverige";"Mid Cap";"Informationsteknik";"Elektronisk utrustning";"MYCR";"Aktier";"Q2-2018";0.05454549;0.02693965;15.44067;2.981298;4.782221;3047.9;1772.7;808.7;864.9;588.5;136.8;97.917;1840.5;306.4;1423.7
